date,sun_longitude,sun_distance,moon_longitude,moon_distance,mercury_longitude,mercury_distance,venus_longitude,venus_distance,mars_longitude,mars_distance,jupiter_longitude,jupiter_distance,saturn_longitude,saturn_distance,uranus_longitude,uranus_distance,neptune_longitude,neptune_distance,pluto_longitude,pluto_distance,sun_velocity,moon_velocity,mercury_velocity,venus_velocity,mars_velocity,jupiter_velocity,saturn_velocity,uranus_velocity,neptune_velocity,pluto_velocity
2025-11-29,244.80944319326196,0.9864809638582008,346.4629124509414,0.002532999936769848,228.6470089007633,0.7962778481013197,235.23286730908188,1.6788779923587835,256.30241771361216,2.423850759353944,116.21855989872007,4.483753398686,356.1646499188942,9.175696715514443,56.58372281415245,18.518369345536748,359.6623441730497,29.496111029196648,304.6451526784243,35.956145031535,,,,,,,,,,
2025-11-30,245.88281745478966,0.9863064523820838,358.5526110587521,0.002493609062634751,228.62317351535782,0.8192606182121572,236.52009396920351,1.6804728344941096,257.10551257158966,2.42387886142957,116.15705771876502,4.472510238162567,356.1655034168405,9.191494136351587,56.54087596163579,18.520889760857262,359.65643185825076,29.512227742947015,304.66736591381624,35.97080283896158,1.0733742615277038,12.089698607810703,-0.023835385405476472,1.2872266601216324,0.8030948579774986,-0.061502179955056135,0.0008534979463092895,-0.04284685251666076,-0.005912314798933949,0.02221323539191644
2025-12-01,246.9589086003171,0.9861366010936231,11.082710760386803,0.0024561636736975174,228.76690404846283,0.8430497759800327,237.81224176802866,1.6820260804373497,257.9104480951424,2.4238765778898665,116.09227778174451,4.461471061202478,356.1680070634507,9.20737614539366,56.49820181699191,18.523718569099444,359.65102847801654,29.528453503202208,304.68997696926147,35.98528534262235,1.0760911455274424,-347.4699002983653,0.14373053310501405,1.292147798825141,0.8049355235527287,-0.06477993702050355,0.002503646610193755,-0.04267414464388253,-0.005403380234213273,0.022611055445224792
2025-12-02,248.03763825454436,0.9859717909602131,24.39099871046413,0.002423914000679198,229.06620321862496,0.8673707472427903,239.1092721926295,1.6835381399276657,258.7171771837821,2.423844618072676,116.02425509631601,4.450640147103125,356.1721597016167,9.223337725578602,56.455718713164856,18.526854496286337,359.6461361773891,29.544783242848222,304.7129800624091,35.999588811885644,1.07872965422726,13.308287950077329,0.29929917016212926,1.2970304246008482,0.8067290886397132,-0.06802268542850243,0.004152638165976441,-0.04248310382705256,-0.004892300627432178,0.023003093147622167
2025-12-03,249.11892960656644,0.9858123796641909,38.778414914523864,0.002400147324202893,229.50807667104576,0.8919810586506202,240.41113899162224,1.6850093897391303,259.52565409278463,2.423783685478329,115.95302565745406,4.440021670389537,356.17795955882855,9.239373978809153,56.4134445396668,18.5302962120023,359.641756904797,29.561211987206605,304.73636946979684,36.013709643234215,1.0812913520220775,14.387416204059733,0.44187345242079346,1.3018667989927337,0.8084769090025361,-0.07122943886194832,0.005799857211854942,-0.04227417349805762,-0.004379272592132111,0.023389407387753636
2025-12-04,250.20270742306988,0.9856586676777032,54.3931641848947,0.0023876366180646327,230.07932073030778,0.9166710631523949,241.71778786482298,1.6864401422554038,260.3358345529961,2.423694441421604,115.87862611011306,4.429619733005433,356.1854044937973,9.25548013256458,56.37139677806013,18.53404237120465,359.63789248499137,29.577734863926022,304.76013957791196,36.02764432979638,1.0837778165034422,15.614749270370837,0.5712440592620283,1.3066488732007429,0.8101804602114839,-0.0743995473410024,0.007444934968759753,-0.04204776160666768,-0.0038644198056090318,0.023770108115115818
2025-12-05,251.28889700803083,0.9855108641520793,71.06711523738102,0.002388074576098096,230.76707729979324,0.9412629132901552,243.02915560569593,1.6878306159541991,261.1476754365133,2.4235774657619316,115.80109362504047,4.419438410335508,356.1944922663811,9.271651526126742,56.32959260264214,18.53809165074164,359.63454470225736,29.594347092802654,304.7842849113069,36.04138941537119,1.0861895849609482,16.673951052486316,0.6877565694854582,1.311367740872953,0.8118408835171635,-0.07753248507259514,0.009087772583768583,-0.04180417541799386,-0.003347782734010707,0.024145333394926638
2025-12-06,252.37742211115577,0.9853690629158168,88.22505319211392,0.002401675888048142,231.55919481589265,0.965608394020903,244.34516874253805,1.6891809174568737,261.96113393128627,2.4234332255185245,115.72046609793513,4.409481801033597,356.2052207628782,9.287883574453359,56.28804903509174,18.542442768413796,359.6317153729581,29.61104395261478,304.80880012278965,36.05494144170944,1.0885251031249368,17.1579379547329,0.7921175160994096,1.3160131368421162,0.8134584947729877,-0.08062752710533516,0.010728496497108608,-0.041543567550398564,-0.002829329299231631,0.0245152114827647
2025-12-07,253.4682022546761,0.9852332372692726,105.04517499263683,0.0024271001924054815,232.4444384470752,0.9895861089576581,245.66574197203772,1.6904910423319734,262.7761663933262,2.423262061729805,115.63678267404745,4.3997540661711945,356.2175881088041,9.304171716793824,56.24678311551201,18.547094476533424,359.62940638520297,29.62782073113506,304.83367994285067,36.06829690317033,1.090780143520334,16.820121800522912,0.8852436311825613,1.3205732294996722,0.8150324620399374,-0.08368342388767758,0.012367345925895279,-0.041265919579728916,-0.002308987755156977,0.024879820061016744
2025-12-08,254.5611502414256,0.9851032553285274,120.82731173125582,0.002461725863410598,233.41258973943974,1.0130983861099092,246.99077680915528,1.6917608947200398,263.5927271965563,2.423064198436716,115.55008446760256,4.390259446044102,356.23159263989373,9.320511364063304,56.20581204180082,18.552045531471364,359.62761969450355,29.644672671952293,304.8589191017608,36.08145222133042,1.0929479867494933,15.782136738618988,0.9681512923645244,1.3250348371175562,0.8165608032301179,-0.08669820644489334,0.014004531089653938,-0.0409710737111908,-0.0017866906994186138,0.025239158910153492
2025-12-09,255.6561705008811,0.9849789096093703,135.2525444544703,0.002502164078970962,234.45446938530344,1.036068154182937,248.32016078512387,1.692990318496321,264.41076788538055,2.422839768945783,115.46041527804674,4.381002252011239,356.2472327572253,9.336897858710858,56.16515324381346,18.55729464968559,359.6263572815217,29.661594932218634,304.8845122474125,36.09440374390635,1.0950202594555094,14.425232723214478,1.0418796458637019,1.3293839759685966,0.818040688824226,-0.0896691895558206,0.015640117331543024,-0.04065879798736205,-0.00126241298187324,0.025593145651669147
2025-12-10,256.7531585152404,0.9848599505962893,148.36687022924377,0.0025448337232822494,235.56190934495228,1.058435950053515,249.65376728282382,1.6941791298518096,265.2302367728197,2.422588849277211,115.3678221420424,4.371986839887587,356.2645067280036,9.353326453922815,56.12482438768045,18.562840463504635,359.62562109011,29.678582559029255,304.9104538792086,36.10714776307485,1.0969880143592832,13.114325774773476,1.1074399596488433,1.3336064976999467,0.8194688874391431,-0.09259313600433927,0.01727397077831938,-0.04032885613300863,-0.0007361914117041124,0.025941631796115416
2025-12-11,257.85200114927875,0.9847461156724644,160.42377878743642,0.002586445215600997,236.7276937429348,1.0801571530377536,250.9914558781202,1.6953271435880524,266.0510789420233,2.4223114892718605,115.27235565852344,4.363217575366263,356.28341249304447,9.369792310834058,56.08484332927122,18.56868148616064,359.625412964848,29.695630483954385,304.9367383072775,36.1196805435143,1.0988426340383626,12.056908558192646,1.1657843979825202,1.3376885952963846,0.8208421692036154,-0.09546648351896181,0.018905765040869937,-0.039981058409225056,-0.00020812526196323233,0.026284428068890975
2025-12-12,258.9525775062437,0.984637149345431,171.74784207689237,0.0026243193206788693,237.9454824195688,1.1011994964625222,252.33307296571508,1.6964341901294095,266.8732365053457,2.422007736048845,115.17407011284823,4.354698800321433,356.30394751725504,9.38629050764416,56.045228043543275,18.574816089315117,359.62573460024544,29.71273353011878,304.9633596354111,36.13199835127454,1.1005763569649503,11.32406328945595,1.217788676634001,1.3416170875948694,0.8221575633223779,-0.09828554567521053,0.020535024210573738,-0.03961528572794748,0.00032163539742668945,0.026621328133614952
2025-12-13,260.05475995255927,0.9845328148418434,182.66380839028238,0.0026565377397092475,239.2097267692224,1.1215408757141356,253.67845247697178,1.6975001240980268,267.6966489680318,2.421677648891318,115.07302346769904,4.346434804702039,356.3261086919539,9.40281605398543,56.00599655131372,18.581242491534294,359.6265875053103,29.729886425292456,304.9903117604139,36.14409747825713,1.1021824463155667,10.915966313390015,1.2642443496536089,1.3453795112567093,0.8234124626861217,-0.10104664514918227,0.022161174698851482,-0.03923149222955402,0.0008529050648462544,0.026952125002765115
2025-12-14,261.15841508185406,0.9844328993329231,193.4708505765121,0.0026819596836683383,240.51558432389933,1.1411674503614353,255.02741657585605,1.698524827077244,268.52125358977634,2.4213213072790314,114.96927728803988,4.338429804994581,356.34989228044793,9.41936390577798,55.96716685518502,18.587958754145493,359.62797298148604,29.747083816105377,305.0175883799218,36.15597426074349,1.1036551292947934,10.807042186229722,1.305857554676919,1.3489640988842666,0.8246046217445269,-0.10374617965916855,0.02378358849404094,-0.03882969612870113,0.0013854761757556844,0.02727661950791571
2025-12-15,262.2634045204077,0.9843372155024673,204.4349469361276,0.002700146768376268,241.858836210265,1.1600720238738802,256.3797762922788,1.6995082073306285,269.34698569202726,2.4209388146196025,114.86289664713611,4.330687928075323,356.37529389208123,9.435928978165716,55.92875688796596,18.594962780949334,359.6298921096945,29.764320280774953,305.04518300278903,36.167625092705414,1.1049894385536163,10.964096359615496,1.343251886365664,1.3523597164227397,0.8257321022509245,-0.10638064090376531,0.025401611633299126,-0.03840996721906009,0.001919128208442089,0.027594622867241014
