planet,endpoint_type,to_nakshatra,to_pada,event_utc_dt,year
venus,nakshatra,Ashwini,1,1925-12-31T08:15:00+00:00,1925
venus,nakshatra,Revati,4,1926-04-21T20:26:15+00:00,1926
venus,nakshatra,Ashwini,1,1926-08-12T19:58:07.500000+00:00,1926
venus,nakshatra,Revati,4,1926-12-02T08:09:22.500000+00:00,1926
venus,nakshatra,Ashwini,1,1927-03-25T14:09:22.500000+00:00,1927
venus,nakshatra,Revati,4,1927-07-15T06:56:15+00:00,1927
venus,nakshatra,Ashwini,1,1927-11-05T09:50:37.500000+00:00,1927
venus,nakshatra,Revati,4,1928-02-24T19:41:15+00:00,1928
venus,nakshatra,Ashwini,1,1928-06-16T21:00:00+00:00,1928
venus,nakshatra,Revati,4,1928-10-06T12:39:22.500000+00:00,1928
venus,nakshatra,Ashwini,1,1929-01-27T19:13:07.500000+00:00,1929
venus,nakshatra,Revati,4,1929-05-19T09:11:15+00:00,1929
venus,nakshatra,Ashwini,1,1929-09-09T09:28:07.500000+00:00,1929
venus,nakshatra,Revati,4,1929-12-29T20:09:22.500000+00:00,1929
venus,nakshatra,Ashwini,1,1930-04-22T00:56:15+00:00,1930
venus,nakshatra,Revati,4,1930-08-11T17:43:07.500000+00:00,1930
venus,nakshatra,Ashwini,1,1930-12-02T22:18:45+00:00,1930
venus,nakshatra,Revati,4,1931-03-24T09:22:30+00:00,1931
venus,nakshatra,Ashwini,1,1931-07-15T09:28:07.500000+00:00,1931
venus,nakshatra,Revati,4,1931-11-03T23:31:52.500000+00:00,1931
venus,nakshatra,Ashwini,1,1932-02-25T06:00:00+00:00,1932
venus,nakshatra,Revati,4,1932-06-15T21:22:30+00:00,1932
venus,nakshatra,Ashwini,1,1932-10-06T22:52:30+00:00,1932
venus,nakshatra,Revati,4,1933-01-26T08:54:22.500000+00:00,1933
venus,nakshatra,Ashwini,1,1933-05-19T11:54:22.500000+00:00,1933
venus,nakshatra,Revati,4,1933-09-08T04:30:00+00:00,1933
venus,nakshatra,Ashwini,1,1933-12-30T10:07:30+00:00,1933
venus,nakshatra,Revati,4,1934-04-20T22:30:00+00:00,1934
venus,nakshatra,Ashwini,1,1934-08-11T22:30:00+00:00,1934
venus,nakshatra,Revati,4,1934-12-01T10:46:52.500000+00:00,1934
venus,nakshatra,Ashwini,1,1935-03-24T16:35:37.500000+00:00,1935
venus,nakshatra,Revati,4,1935-07-14T08:54:22.500000+00:00,1935
venus,nakshatra,Ashwini,1,1935-11-04T11:43:07.500000+00:00,1935
venus,nakshatra,Revati,4,1936-02-23T22:13:07.500000+00:00,1936
venus,nakshatra,Ashwini,1,1936-06-15T23:43:07.500000+00:00,1936
venus,nakshatra,Revati,4,1936-10-05T15:05:37.500000+00:00,1936
venus,nakshatra,Ashwini,1,1937-01-26T21:28:07.500000+00:00,1937
venus,nakshatra,Revati,4,1937-05-18T11:03:45+00:00,1937
venus,nakshatra,Ashwini,1,1937-09-08T11:48:45+00:00,1937
venus,nakshatra,Revati,4,1937-12-28T22:46:52.500000+00:00,1937
venus,nakshatra,Ashwini,1,1938-04-21T03:22:30+00:00,1938
venus,nakshatra,Revati,4,1938-08-10T19:58:07.500000+00:00,1938
venus,nakshatra,Ashwini,1,1938-12-02T00:16:52.500000+00:00,1938
venus,nakshatra,Revati,4,1939-03-23T11:31:52.500000+00:00,1939
venus,nakshatra,Ashwini,1,1939-07-14T12:05:37.500000+00:00,1939
venus,nakshatra,Revati,4,1939-11-03T01:58:07.500000+00:00,1939
venus,nakshatra,Ashwini,1,1940-02-24T08:15:00+00:00,1940
venus,nakshatra,Revati,4,1940-06-14T23:20:37.500000+00:00,1940
venus,nakshatra,Ashwini,1,1940-10-06T00:56:15+00:00,1940
venus,nakshatra,Revati,4,1941-01-25T11:31:52.500000+00:00,1941
venus,nakshatra,Ashwini,1,1941-05-18T14:37:30+00:00,1941
venus,nakshatra,Revati,4,1941-09-07T06:39:22.500000+00:00,1941
venus,nakshatra,Ashwini,1,1941-12-29T12:11:15+00:00,1941
venus,nakshatra,Revati,4,1942-04-20T00:28:07.500000+00:00,1942
venus,nakshatra,Ashwini,1,1942-08-11T01:01:52.500000+00:00,1942
venus,nakshatra,Revati,4,1942-11-30T13:30:00+00:00,1942
venus,nakshatra,Ashwini,1,1943-03-23T18:56:15+00:00,1943
venus,nakshatra,Revati,4,1943-07-13T11:03:45+00:00,1943
venus,nakshatra,Ashwini,1,1943-11-03T13:46:52.500000+00:00,1943
venus,nakshatra,Revati,4,1944-02-23T00:33:45+00:00,1944
venus,nakshatra,Ashwini,1,1944-06-15T02:26:15+00:00,1944
venus,nakshatra,Revati,4,1944-10-04T17:31:52.500000+00:00,1944
venus,nakshatra,Ashwini,1,1945-01-25T23:26:15+00:00,1945
venus,nakshatra,Revati,4,1945-05-17T13:07:30+00:00,1945
venus,nakshatra,Ashwini,1,1945-09-07T13:58:07.500000+00:00,1945
venus,nakshatra,Revati,4,1945-12-28T01:30:00+00:00,1945
venus,nakshatra,Ashwini,1,1946-04-20T05:54:22.500000+00:00,1946
venus,nakshatra,Revati,4,1946-08-09T22:01:52.500000+00:00,1946
venus,nakshatra,Ashwini,1,1946-12-01T02:15:00+00:00,1946
venus,nakshatra,Revati,4,1947-03-22T13:41:15+00:00,1947
venus,nakshatra,Ashwini,1,1947-07-13T14:43:07.500000+00:00,1947
venus,nakshatra,Revati,4,1947-11-02T04:41:15+00:00,1947
venus,nakshatra,Ashwini,1,1948-02-23T10:18:45+00:00,1948
venus,nakshatra,Revati,4,1948-06-14T01:18:45+00:00,1948
venus,nakshatra,Ashwini,1,1948-10-05T03:11:15+00:00,1948
venus,nakshatra,Revati,4,1949-01-24T13:58:07.500000+00:00,1949
venus,nakshatra,Ashwini,1,1949-05-17T17:20:37.500000+00:00,1949
venus,nakshatra,Revati,4,1949-09-06T08:54:22.500000+00:00,1949
venus,nakshatra,Ashwini,1,1949-12-28T14:09:22.500000+00:00,1949
venus,nakshatra,Revati,4,1950-04-19T02:37:30+00:00,1950
venus,nakshatra,Ashwini,1,1950-08-10T03:22:30+00:00,1950
venus,nakshatra,Revati,4,1950-11-29T16:13:07.500000+00:00,1950
venus,nakshatra,Ashwini,1,1951-03-22T21:22:30+00:00,1951
venus,nakshatra,Revati,4,1951-07-12T12:56:15+00:00,1951
venus,nakshatra,Ashwini,1,1951-11-02T15:50:37.500000+00:00,1951
venus,nakshatra,Revati,4,1952-02-22T02:54:22.500000+00:00,1952
venus,nakshatra,Ashwini,1,1952-06-14T05:03:45+00:00,1952
venus,nakshatra,Revati,4,1952-10-03T20:03:45+00:00,1952
venus,nakshatra,Ashwini,1,1953-01-25T01:24:22.500000+00:00,1953
venus,nakshatra,Revati,4,1953-05-16T15:05:37.500000+00:00,1953
venus,nakshatra,Ashwini,1,1953-09-06T16:30:00+00:00,1953
venus,nakshatra,Revati,4,1953-12-27T04:07:30+00:00,1953
venus,nakshatra,Ashwini,1,1954-04-19T08:31:52.500000+00:00,1954
venus,nakshatra,Revati,4,1954-08-09T00:05:37.500000+00:00,1954
venus,nakshatra,Ashwini,1,1954-11-30T04:07:30+00:00,1954
venus,nakshatra,Revati,4,1955-03-21T16:07:30+00:00,1955
venus,nakshatra,Ashwini,1,1955-07-12T17:20:37.500000+00:00,1955
venus,nakshatra,Revati,4,1955-11-01T07:18:45+00:00,1955
venus,nakshatra,Ashwini,1,1956-02-22T12:39:22.500000+00:00,1956
venus,nakshatra,Revati,4,1956-06-13T03:11:15+00:00,1956
venus,nakshatra,Ashwini,1,1956-10-04T05:20:37.500000+00:00,1956
venus,nakshatra,Revati,4,1957-01-23T16:35:37.500000+00:00,1957
venus,nakshatra,Ashwini,1,1957-05-16T19:52:30+00:00,1957
venus,nakshatra,Revati,4,1957-09-05T11:20:37.500000+00:00,1957
venus,nakshatra,Ashwini,1,1957-12-27T16:01:52.500000+00:00,1957
venus,nakshatra,Revati,4,1958-04-18T04:41:15+00:00,1958
venus,nakshatra,Ashwini,1,1958-08-09T06:00:00+00:00,1958
venus,nakshatra,Revati,4,1958-11-28T18:50:37.500000+00:00,1958
venus,nakshatra,Ashwini,1,1959-03-21T23:48:45+00:00,1959
venus,nakshatra,Revati,4,1959-07-11T15:00:00+00:00,1959
venus,nakshatra,Ashwini,1,1959-11-01T17:48:45+00:00,1959
venus,nakshatra,Revati,4,1960-02-21T05:26:15+00:00,1960
venus,nakshatra,Ashwini,1,1960-06-13T07:46:52.500000+00:00,1960
venus,nakshatra,Revati,4,1960-10-02T22:30:00+00:00,1960
venus,nakshatra,Ashwini,1,1961-01-24T03:39:22.500000+00:00,1961
venus,nakshatra,Revati,4,1961-05-15T17:03:45+00:00,1961
