planet,endpoint_type,to_nakshatra,to_pada,event_utc_dt,year
mars,nakshatra,Revati,4,1976-10-29T13:07:30+00:00,1976
mars,nakshatra,Ashwini,1,1977-08-29T22:21:33.750000+00:00,1977
mars,nakshatra,Revati,4,1978-09-16T14:41:43.125000+00:00,1978
mars,nakshatra,Ashwini,1,1979-07-17T19:28:35.625000+00:00,1979
mars,nakshatra,Revati,4,1980-08-03T14:58:35.625000+00:00,1980
mars,nakshatra,Ashwini,1,1981-06-03T18:59:45.937500+00:00,1981
mars,nakshatra,Revati,4,1982-06-21T14:22:44.062500+00:00,1982
mars,nakshatra,Ashwini,1,1983-04-21T20:02:20.625000+00:00,1983
mars,nakshatra,Revati,4,1984-05-08T13:11:43.125000+00:00,1984
mars,nakshatra,Ashwini,1,1985-03-08T20:15:42.187500+00:00,1985
mars,nakshatra,Revati,4,1986-03-26T11:07:58.125000+00:00,1986
mars,nakshatra,Ashwini,1,1987-01-24T20:00:56.250000+00:00,1987
mars,nakshatra,Revati,4,1988-02-11T09:21:47.812500+00:00,1988
mars,nakshatra,Ashwini,1,1988-12-11T20:17:48.750000+00:00,1988
mars,nakshatra,Revati,4,1989-12-29T08:45:56.250000+00:00,1989
mars,nakshatra,Ashwini,1,1990-10-29T18:10:32.812500+00:00,1990
mars,nakshatra,Revati,4,1991-11-16T08:31:10.312500+00:00,1991
mars,nakshatra,Ashwini,1,1992-09-15T16:13:49.687500+00:00,1992
mars,nakshatra,Revati,4,1993-10-03T07:51:47.812500+00:00,1993
mars,nakshatra,Ashwini,1,1994-08-03T16:23:40.312500+00:00,1994
mars,nakshatra,Revati,4,1995-08-21T07:05:23.437500+00:00,1995
mars,nakshatra,Ashwini,1,1996-06-20T15:47:48.750000+00:00,1996
mars,nakshatra,Revati,4,1997-07-08T06:29:31.875000+00:00,1997
mars,nakshatra,Ashwini,1,1998-05-08T14:33:16.875000+00:00,1998
mars,nakshatra,Revati,4,1999-05-26T05:11:29.062500+00:00,1999
mars,nakshatra,Ashwini,1,2000-03-25T14:36:05.625000+00:00,2000
mars,nakshatra,Revati,4,2001-04-12T04:53:12.187500+00:00,2001
mars,nakshatra,Ashwini,1,2002-02-10T13:18:02.812500+00:00,2002
mars,nakshatra,Revati,4,2003-02-28T04:59:31.875000+00:00,2003
mars,nakshatra,Ashwini,1,2003-12-29T11:28:21.562500+00:00,2003
mars,nakshatra,Revati,4,2005-01-15T04:16:38.437500+00:00,2005
mars,nakshatra,Ashwini,1,2005-11-15T11:38:12.187500+00:00,2005
mars,nakshatra,Revati,4,2006-12-03T03:44:17.812500+00:00,2006
mars,nakshatra,Ashwini,1,2007-10-03T11:41:00.937500+00:00,2007
mars,nakshatra,Revati,4,2008-10-20T02:43:49.687500+00:00,2008
mars,nakshatra,Ashwini,1,2009-08-20T11:12:11.250000+00:00,2009
mars,nakshatra,Revati,4,2010-09-07T00:36:33.750000+00:00,2010
mars,nakshatra,Ashwini,1,2011-07-08T11:46:38.437500+00:00,2011
mars,nakshatra,Revati,4,2012-07-24T22:46:52.500000+00:00,2012
mars,nakshatra,Ashwini,1,2013-05-25T11:17:48.750000+00:00,2013
mars,nakshatra,Revati,4,2014-06-11T22:14:31.875000+00:00,2014
mars,nakshatra,Ashwini,1,2015-04-12T08:42:25.312500+00:00,2015
mars,nakshatra,Revati,4,2016-04-28T21:28:07.500000+00:00,2016
mars,nakshatra,Ashwini,1,2017-02-27T07:10:18.750000+00:00,2017
mars,nakshatra,Revati,4,2018-03-16T21:55:32.812500+00:00,2018
mars,nakshatra,Ashwini,1,2019-01-15T05:34:41.250000+00:00,2019
mars,nakshatra,Revati,4,2020-02-01T23:15:42.187500+00:00,2020
mars,nakshatra,Ashwini,1,2020-12-02T04:13:07.500000+00:00,2020
mars,nakshatra,Revati,4,2021-12-19T23:15:00+00:00,2021
mars,nakshatra,Ashwini,1,2022-10-20T04:05:23.437500+00:00,2022
mars,nakshatra,Revati,4,2023-11-06T22:03:59.062500+00:00,2023
mars,nakshatra,Ashwini,1,2024-09-06T06:07:44.062500+00:00,2024
mars,nakshatra,Revati,4,2025-09-23T19:42:39.375000+00:00,2025
