planet,endpoint_type,to_sign,event_utc_dt,year
venus,rashi,Pisces,1938-08-10T19:58:07.500000+00:00,1938
venus,rashi,Aries,1938-12-02T00:16:52.500000+00:00,1938
venus,rashi,Pisces,1939-03-23T11:31:52.500000+00:00,1939
venus,rashi,Aries,1939-07-14T12:05:37.500000+00:00,1939
venus,rashi,Pisces,1939-11-03T01:58:07.500000+00:00,1939
venus,rashi,Aries,1940-02-24T08:15:00+00:00,1940
venus,rashi,Pisces,1940-06-14T23:20:37.500000+00:00,1940
venus,rashi,Aries,1940-10-06T00:56:15+00:00,1940
venus,rashi,Pisces,1941-01-25T11:31:52.500000+00:00,1941
venus,rashi,Aries,1941-05-18T14:37:30+00:00,1941
venus,rashi,Pisces,1941-09-07T06:39:22.500000+00:00,1941
venus,rashi,Aries,1941-12-29T12:11:15+00:00,1941
venus,rashi,Pisces,1942-04-20T00:28:07.500000+00:00,1942
venus,rashi,Aries,1942-08-11T01:01:52.500000+00:00,1942
venus,rashi,Pisces,1942-11-30T13:30:00+00:00,1942
venus,rashi,Aries,1943-03-23T18:56:15+00:00,1943
venus,rashi,Pisces,1943-07-13T11:03:45+00:00,1943
venus,rashi,Aries,1943-11-03T13:46:52.500000+00:00,1943
venus,rashi,Pisces,1944-02-23T00:33:45+00:00,1944
venus,rashi,Aries,1944-06-15T02:26:15+00:00,1944
venus,rashi,Pisces,1944-10-04T17:31:52.500000+00:00,1944
venus,rashi,Aries,1945-01-25T23:26:15+00:00,1945
venus,rashi,Pisces,1945-05-17T13:07:30+00:00,1945
venus,rashi,Aries,1945-09-07T13:58:07.500000+00:00,1945
venus,rashi,Pisces,1945-12-28T01:30:00+00:00,1945
venus,rashi,Aries,1946-04-20T05:54:22.500000+00:00,1946
venus,rashi,Pisces,1946-08-09T22:01:52.500000+00:00,1946
venus,rashi,Aries,1946-12-01T02:15:00+00:00,1946
venus,rashi,Pisces,1947-03-22T13:41:15+00:00,1947
venus,rashi,Aries,1947-07-13T14:43:07.500000+00:00,1947
venus,rashi,Pisces,1947-11-02T04:41:15+00:00,1947
venus,rashi,Aries,1948-02-23T10:18:45+00:00,1948
venus,rashi,Pisces,1948-06-14T01:18:45+00:00,1948
venus,rashi,Aries,1948-10-05T03:11:15+00:00,1948
venus,rashi,Pisces,1949-01-24T13:58:07.500000+00:00,1949
venus,rashi,Aries,1949-05-17T17:20:37.500000+00:00,1949
venus,rashi,Pisces,1949-09-06T08:54:22.500000+00:00,1949
venus,rashi,Aries,1949-12-28T14:09:22.500000+00:00,1949
venus,rashi,Pisces,1950-04-19T02:37:30+00:00,1950
venus,rashi,Aries,1950-08-10T03:22:30+00:00,1950
venus,rashi,Pisces,1950-11-29T16:13:07.500000+00:00,1950
venus,rashi,Aries,1951-03-22T21:22:30+00:00,1951
venus,rashi,Pisces,1951-07-12T12:56:15+00:00,1951
venus,rashi,Aries,1951-11-02T15:50:37.500000+00:00,1951
venus,rashi,Pisces,1952-02-22T02:54:22.500000+00:00,1952
venus,rashi,Aries,1952-06-14T05:03:45+00:00,1952
venus,rashi,Pisces,1952-10-03T20:03:45+00:00,1952
venus,rashi,Aries,1953-01-25T01:24:22.500000+00:00,1953
venus,rashi,Pisces,1953-05-16T15:05:37.500000+00:00,1953
venus,rashi,Aries,1953-09-06T16:30:00+00:00,1953
venus,rashi,Pisces,1953-12-27T04:07:30+00:00,1953
venus,rashi,Aries,1954-04-19T08:31:52.500000+00:00,1954
venus,rashi,Pisces,1954-08-09T00:05:37.500000+00:00,1954
venus,rashi,Aries,1954-11-30T04:07:30+00:00,1954
venus,rashi,Pisces,1955-03-21T16:07:30+00:00,1955
venus,rashi,Aries,1955-07-12T17:20:37.500000+00:00,1955
venus,rashi,Pisces,1955-11-01T07:18:45+00:00,1955
venus,rashi,Aries,1956-02-22T12:39:22.500000+00:00,1956
venus,rashi,Pisces,1956-06-13T03:11:15+00:00,1956
venus,rashi,Aries,1956-10-04T05:20:37.500000+00:00,1956
venus,rashi,Pisces,1957-01-23T16:35:37.500000+00:00,1957
venus,rashi,Aries,1957-05-16T19:52:30+00:00,1957
venus,rashi,Pisces,1957-09-05T11:20:37.500000+00:00,1957
venus,rashi,Aries,1957-12-27T16:01:52.500000+00:00,1957
venus,rashi,Pisces,1958-04-18T04:41:15+00:00,1958
venus,rashi,Aries,1958-08-09T06:00:00+00:00,1958
venus,rashi,Pisces,1958-11-28T18:50:37.500000+00:00,1958
venus,rashi,Aries,1959-03-21T23:48:45+00:00,1959
venus,rashi,Pisces,1959-07-11T15:00:00+00:00,1959
venus,rashi,Aries,1959-11-01T17:48:45+00:00,1959
venus,rashi,Pisces,1960-02-21T05:26:15+00:00,1960
