planet,endpoint_type,to_sign,event_utc_dt,year
rahu,rashi,Libra,1995-08-11T04:02:34.687500+00:00,1995
rahu,rashi,Virgo,1997-02-27T16:48:37.968750+00:00,1997
rahu,rashi,Leo,1998-09-17T05:34:41.250000+00:00,1998
rahu,rashi,Cancer,2000-04-05T18:20:44.531250+00:00,2000
rahu,rashi,Gemini,2001-10-24T07:06:47.812500+00:00,2001
rahu,rashi,Taurus,2003-05-13T19:52:51.093750+00:00,2003
rahu,rashi,Aries,2004-11-30T08:33:37.968750+00:00,2004
rahu,rashi,Pisces,2006-06-19T21:19:41.250000+00:00,2006
rahu,rashi,Aquarius,2008-01-07T10:05:44.531250+00:00,2008
rahu,rashi,Capricorn,2009-07-26T22:51:47.812500+00:00,2009
rahu,rashi,Sagittarius,2011-02-13T11:37:51.093750+00:00,2011
rahu,rashi,Scorpio,2012-09-02T00:23:54.375000+00:00,2012
rahu,rashi,Libra,2014-03-22T13:09:57.656250+00:00,2014
rahu,rashi,Virgo,2015-10-10T01:50:44.531250+00:00,2015
rahu,rashi,Leo,2017-04-28T14:36:47.812500+00:00,2017
rahu,rashi,Cancer,2018-11-16T03:22:51.093750+00:00,2018
rahu,rashi,Gemini,2020-06-04T16:08:54.375000+00:00,2020
rahu,rashi,Taurus,2021-12-23T04:54:57.656250+00:00,2021
rahu,rashi,Aries,2023-07-12T17:41:00.937500+00:00,2023
rahu,rashi,Pisces,2025-01-29T06:27:04.218750+00:00,2025
